Estacion, Anno, Velocidad
estacion1,2005,3.3344
estacion1,2006,3.4203
estacion1,2007,3.66929
estacion1,2008,3.31307
estacion1,2009,3.63046
estacion1,2010,3.204
estacion1,2011,3.15737
estacion1,2012,3.42394
estacion1,2013,3.56674
estacion1,2014,3.53068
estacion1,2015,3.77979
estacion1,2016,3.32206
estacion1,2017,2.95595
estacion2,2005,0
estacion2,2006,0
estacion2,2007,0
estacion2,2008,0
estacion2,2009,0
estacion2,2010,0
estacion2,2011,0
estacion2,2012,0
estacion2,2013,0
estacion2,2014,1.16543
estacion2,2015,1.14544
estacion2,2016,1.03988
estacion2,2017,0.990106
estacion3,2005,1.39325
estacion3,2006,1.55748
estacion3,2007,0
estacion3,2008,0
estacion3,2009,0
estacion3,2010,0
estacion3,2011,0
estacion3,2012,1.32245
estacion3,2013,1.328
estacion3,2014,1.2376
estacion3,2015,1.24809
estacion3,2016,1.32785
estacion3,2017,1.35077
estacion4,2005,0
estacion4,2006,3.54578
estacion4,2007,3.27126
estacion4,2008,2.62906
estacion4,2009,3.86994
estacion4,2010,3.40882
estacion4,2011,3.36648
estacion4,2012,3.40417
estacion4,2013,3.67129
estacion4,2014,3.71957
estacion4,2015,3.99898
estacion4,2016,3.65699
estacion4,2017,2.91596
