Estacion, Anno, Velocidad
estacion1,00:00,0
estacion1,01:00,0
estacion1,02:00,0
estacion1,03:00,0
estacion1,04:00,0
estacion1,05:00,0
estacion1,06:00,0
estacion1,07:00,0
estacion1,08:00,0
estacion1,09:00,0
estacion1,10:00,4.27223
estacion1,11:00,4.59221
estacion1,12:00,4.79689
estacion1,13:00,4.89214
estacion1,14:00,4.98559
estacion1,15:00,4.91147
estacion1,16:00,4.64568
estacion1,17:00,4.19307
estacion1,18:00,3.65365
estacion1,19:00,3.16901
estacion1,20:00,2.88552
estacion1,21:00,2.77193
estacion1,22:00,2.68895
estacion1,23:00,2.57895
estacion2,00:00,0.716257
estacion2,01:00,0.70066
estacion2,02:00,0.707152
estacion2,03:00,0.70736
estacion2,04:00,0.716622
estacion2,05:00,0.71456
estacion2,06:00,0.658466
estacion2,07:00,0.621541
estacion2,08:00,0.842901
estacion2,09:00,1.18538
estacion2,10:00,1.50857
estacion2,11:00,1.69989
estacion2,12:00,1.85019
estacion2,13:00,1.9688
estacion2,14:00,1.91105
estacion2,15:00,1.81141
estacion2,16:00,1.6575
estacion2,17:00,1.32499
estacion2,18:00,1.03322
estacion2,19:00,0.896079
estacion2,20:00,0.857998
estacion2,21:00,0.816302
estacion2,22:00,0.762185
estacion2,23:00,0.734239
estacion3,00:00,0
estacion3,01:00,0
estacion3,02:00,0
estacion3,03:00,0
estacion3,04:00,0
estacion3,05:00,0
estacion3,06:00,0
estacion3,07:00,0
estacion3,08:00,0
estacion3,09:00,0
estacion3,10:00,1.62858
estacion3,11:00,1.97079
estacion3,12:00,2.25326
estacion3,13:00,2.41644
estacion3,14:00,2.4293
estacion3,15:00,2.26297
estacion3,16:00,2.03104
estacion3,17:00,1.69584
estacion3,18:00,1.40323
estacion3,19:00,1.2125
estacion3,20:00,1.09083
estacion3,21:00,0.97862
estacion3,22:00,0.905952
estacion3,23:00,0.857017
estacion4,00:00,0
estacion4,01:00,0
estacion4,02:00,0
estacion4,03:00,0
estacion4,04:00,0
estacion4,05:00,0
estacion4,06:00,0
estacion4,07:00,0
estacion4,08:00,0
estacion4,09:00,0
estacion4,10:00,3.64914
estacion4,11:00,3.40848
estacion4,12:00,3.19885
estacion4,13:00,3.02641
estacion4,14:00,2.92995
estacion4,15:00,2.82143
estacion4,16:00,2.7502
estacion4,17:00,2.70615
estacion4,18:00,2.7195
estacion4,19:00,2.97099
estacion4,20:00,3.19836
estacion4,21:00,3.45504
estacion4,22:00,3.54904
estacion4,23:00,3.59497
