Estacion, Mes, Velocidad
estacion1,01,3.44505
estacion1,02,3.48411
estacion1,03,3.40012
estacion1,04,3.22125
estacion1,05,3.49236
estacion1,06,3.84581
estacion1,07,3.87898
estacion1,08,3.51601
estacion1,09,3.48073
estacion1,10,2.94679
estacion1,11,2.89243
estacion1,12,3.61218
estacion2,01,1.18003
estacion2,02,1.34164
estacion2,03,1.17641
estacion2,04,1.01029
estacion2,05,0.985533
estacion2,06,0.974312
estacion2,07,0.993236
estacion2,08,1.08672
estacion2,09,1.07517
estacion2,10,1.11419
estacion2,11,1.18825
estacion2,12,1.28446
estacion3,01,1.44391
estacion3,02,1.48347
estacion3,03,1.43119
estacion3,04,1.30825
estacion3,05,1.26168
estacion3,06,1.23715
estacion3,07,1.1821
estacion3,08,1.19817
estacion3,09,1.25337
estacion3,10,1.29239
estacion3,11,1.34027
estacion3,12,1.39228
estacion4,01,3.14355
estacion4,02,3.14494
estacion4,03,2.80317
estacion4,04,2.6243
estacion4,05,3.8526
estacion4,06,4.87786
estacion4,07,4.76562
estacion4,08,4.09313
estacion4,09,3.89934
estacion4,10,2.64364
estacion4,11,3.00455
estacion4,12,3.84613
